ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
62            2015-11-01T22:06:54.205  7690.51806640625  -6764.017578125      -3625.92529296875    494.7703552246094    2015-11-01T10:09:54.205  76532.5859375     67410.3828125        35911.40234375       -4842.37255859375    
63            2015-11-02T22:00:24.184  7694.15869140625  -6806.599609375      -3552.16552734375    502.3908996582031    2015-11-02T10:03:24.205  76528.609375      67965.75             34834.07421875       -4885.978515625      
64            2015-11-03T21:53:24.184  7696.8642578125   -6963.7373046875     -3241.92724609375    487.84173583984375   2015-11-03T09:56:54.184  76524.890625      68505.796875         33744.91015625       -4929.13134765625    
65            2015-11-04T21:46:54.184  7697.7431640625   -6979.14501953125    -3208.941162109375   499.4848937988281    2015-11-04T09:50:24.184  76522.40625       69030.96875          32644.8359375        -4971.87060546875    
66            2015-11-05T21:40:24.184  7696.91552734375  -6987.37548828125    -3187.023681640625   511.8294677734375    2015-11-05T09:43:24.184  76522.0234375     69553.4453125        31509.03515625       -5011.84423828125    
67            2015-11-06T21:33:24.184  7693.46337890625  -7108.11279296875    -2900.637451171875   500.4247131347656    2015-11-06T09:36:54.184  76524.296875      70048.7265625        30390.80859375       -5053.95849609375    
68            2015-11-07T21:26:54.184  7686.84130859375  -7112.53662109375    -2870.0966796875     511.7566223144531    2015-11-07T09:30:24.184  76529.46875       70528.7890625        29265.703125         -5095.84326171875    
69            2015-11-08T21:20:24.184  7678.3017578125   -7123.0517578125     -2819.048828125      520.9741821289062    2015-11-08T09:23:24.184  76537.40625       71003.6484375        28108.482421875      -5135.21923828125    
70            2015-11-09T21:13:54.163  7668.3115234375   -7143.78466796875    -2737.02001953125    527.319580078125     2015-11-09T09:16:54.184  76547.5078125     71450.34375          26973.50390625       -5176.82275390625    
71            2015-11-10T21:07:24.163  7657.90478515625  -7177.06298828125    -2617.6083984375     530.4602661132812    2015-11-10T09:10:24.163  76558.625         71878.6328125        25835.12890625       -5218.32958984375    
72            2015-11-11T21:00:54.163  7648.734375       -7222.75341796875    -2460.370849609375   530.6058959960938    2015-11-11T09:03:54.163  76569.109375      72286.828125         24693.677734375      -5259.7578125        
73            2015-11-12T20:54:24.163  7642.73583984375  -7277.37744140625    -2274.12646484375    528.7107543945312    2015-11-12T08:57:24.163  76577.15625       72673.390625         23548.630859375      -5301.10107421875    
74            2015-11-13T20:47:54.163  7641.31640625     -7334.8173828125     -2076.800048828125   526.3731079101562    2015-11-13T08:51:24.163  76581.1953125     73028.8359375        22425.568359375      -5344.48681640625    
75            2015-11-14T20:41:54.163  7643.9208984375   -7308.44775390625    -2171.890625         546.8130493164062    2015-11-14T08:44:54.163  76580.46875       73370.5              21268.1640625        -5385.45068359375    
76            2015-11-15T20:35:24.163  7649.66796875     -7357.1923828125     -2021.9332275390625  548.5643310546875    2015-11-15T08:38:24.163  76575.40625       73690.4375           20101.51171875       -5426.08935546875    
77            2015-11-16T20:28:54.142  7657.1591796875   -7392.24365234375    -1918.3323974609375  553.9171142578125    2015-11-16T08:31:54.163  76567.609375      73990.375            18924.6484375        -5466.2861328125     
78            2015-11-17T20:21:54.142  7664.25244140625  -7480.1552734375     -1579.216796875      542.3233032226562    2015-11-17T08:25:24.142  76559.34375       74272.4765625        17737.4453125        -5505.958984375      
79            2015-11-18T20:15:24.142  7663.7666015625   -7481.86279296875    -1564.594970703125   554.16357421875      2015-11-18T08:18:54.142  76552.90625       74538.4375           16541.47265625       -5545.09033203125    
80            2015-11-19T20:08:54.142  7664.4296875      -7488.99169921875    -1529.7396240234375  564.2544555664062    2015-11-19T08:11:54.142  76553.90625       74796.3984375        15322.0654296875     -5588.6904296875     
81            2015-11-20T20:01:54.142  7661.13427734375  -7539.53271484375    -1240.5533447265625  556.284423828125     2015-11-20T08:05:24.142  76555.3515625     75032.1015625        14115.3447265625     -5626.95263671875    
82            2015-11-21T19:55:24.142  7653.904296875    -7535.57080078125    -1215.2783203125     566.142333984375     2015-11-21T07:58:54.142  76560.9453125     75252.1796875        12907.24609375       -5664.953125         
83            2015-11-22T19:48:54.142  7645.27001953125  -7535.7041015625     -1155.268798828125   573.3043823242188    2015-11-22T07:51:54.142  76569.4453125     75459.6875           11671.123046875      -5700.86962890625    
84            2015-11-23T19:42:24.120  7636.5849609375   -7541.09716796875    -1056.165771484375   577.7523803710938    2015-11-23T07:45:24.142  76579.0390625     75643.3046875        10464.6416015625     -5738.59130859375    
85            2015-11-24T19:35:54.120  7629.41552734375  -7551.0419921875     -923.6915283203125   580.1155395507812    2015-11-24T07:38:54.120  76587.734375      75806.1796875        9259.5478515625      -5776.16748046875    
86            2015-11-25T19:29:24.120  7625.09130859375  -7563.72265625       -770.7650756835938   581.4075317382812    2015-11-25T07:32:24.120  76593.8203125     75946.8984375        8055.1005859375      -5813.52587890625    
87            2015-11-26T19:22:54.120  7624.24609375     -7577.05810546875    -614.5508422851562   582.7924194335938    2015-11-26T07:25:54.120  76596.3125        76064.75             6849.740234375       -5850.576171875      
88            2015-11-27T19:16:24.120  7626.64794921875  -7589.5087890625     -471.7589111328125   585.2791748046875    2015-11-27T07:19:54.120  76595.0703125     76157.53125          5670.53662109375     -5888.97021484375    
